Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2019,Pend Oreille,WA,Passenger,5,5,10,"9,541","9,551",0.10
January 31 2019,Pierce,WA,Truck,0,0,0,"139,163","139,163",0.00
January 31 2019,Pierce,WA,Passenger,"1,582","1,423","3,005","539,967","542,972",0.55
January 31 2019,San Juan,WA,Truck,0,0,0,"5,805","5,805",0.00
January 31 2019,San Juan,WA,Passenger,190,68,258,"14,256","14,514",1.78
January 31 2019,Skagit,WA,Truck,1,0,1,"32,326","32,327",0.00
January 31 2019,Skagit,WA,Passenger,270,186,456,"91,386","91,842",0.50
January 31 2019,Skamania,WA,Passenger,18,15,33,"8,746","8,779",0.38
January 31 2019,Skamania,WA,Truck,0,0,0,"4,009","4,009",0.00
January 31 2019,Snohomish,WA,Truck,1,0,1,"122,020","122,021",0.00
January 31 2019,Snohomish,WA,Passenger,"3,075","1,492","4,567","528,415","532,982",0.86
January 31 2019,Spokane,WA,Truck,1,0,1,"93,965","93,966",0.00
January 31 2019,Spokane,WA,Passenger,470,379,849,"307,686","308,535",0.28
January 31 2019,Stevens,WA,Passenger,18,28,46,"31,817","31,863",0.14
January 31 2019,Stevens,WA,Truck,0,0,0,"18,769","18,769",0.00
January 31 2019,Thurston,WA,Truck,0,0,0,"54,931","54,931",0.00
January 31 2019,Thurston,WA,Passenger,772,591,"1,363","196,120","197,483",0.69
January 31 2019,Wahkiakum,WA,Passenger,1,1,2,"3,006","3,008",0.07
January 31 2019,Wahkiakum,WA,Truck,0,0,0,"1,712","1,712",0.00
January 31 2019,Walla Walla,WA,Passenger,42,54,96,"36,156","36,252",0.26
January 31 2019,Walla Walla,WA,Truck,0,0,0,"13,539","13,539",0.00
January 31 2019,Whatcom,WA,Truck,2,0,2,"42,747","42,749",0.00
January 31 2019,Whatcom,WA,Passenger,781,375,"1,156","149,750","150,906",0.77
January 31 2019,Whitman,WA,Passenger,24,40,64,"22,862","22,926",0.28
January 31 2019,Whitman,WA,Truck,0,0,0,"8,516","8,516",0.00
January 31 2019,Yakima,WA,Passenger,84,100,184,"164,954","165,138",0.11
January 31 2019,Yakima,WA,Truck,0,0,0,"58,931","58,931",0.00
February 28 2019,Adams,WA,Truck,0,0,0,"5,109","5,109",0.00
February 28 2019,Adams,WA,Passenger,4,6,10,"12,673","12,683",0.08
February 28 2019,Asotin,WA,Passenger,12,9,21,"12,686","12,707",0.17
February 28 2019,Asotin,WA,Truck,0,0,0,"6,645","6,645",0.00
February 28 2019,Benton,WA,Truck,0,0,0,"41,549","41,549",0.00
February 28 2019,Benton,WA,Passenger,233,246,479,"133,026","133,505",0.36
February 28 2019,Chelan,WA,Passenger,145,66,211,"54,168","54,379",0.39
February 28 2019,Chelan,WA,Truck,0,0,0,"22,101","22,101",0.00
February 28 2019,Clallam,WA,Passenger,153,127,280,"50,363","50,643",0.55
February 28 2019,Clallam,WA,Truck,0,0,0,"21,578","21,578",0.00
February 28 2019,Clark,WA,Passenger,"1,339",868,"2,207","311,875","314,082",0.70
February 28 2019,Clark,WA,Truck,0,0,0,"79,985","79,985",0.00
February 28 2019,Columbia,WA,Truck,0,0,0,"1,526","1,526",0.00
February 28 2019,Columbia,WA,Passenger,2,2,4,"2,429","2,433",0.16
February 28 2019,Cowlitz,WA,Passenger,82,100,182,"72,449","72,631",0.25
February 28 2019,Cowlitz,WA,Truck,0,0,0,"28,733","28,733",0.00
February 28 2019,Douglas,WA,Truck,0,0,0,"12,167","12,167",0.00
February 28 2019,Douglas,WA,Passenger,52,35,87,"27,943","28,030",0.31
February 28 2019,Ferry,WA,Truck,0,0,0,"3,592","3,592",0.00
February 28 2019,Ferry,WA,Passenger,3,2,5,"4,378","4,383",0.11
February 28 2019,Franklin,WA,Passenger,50,70,120,"59,308","59,428",0.20
February 28 2019,Franklin,WA,Truck,0,0,0,"19,117","19,117",0.00
February 28 2019,Garfield,WA,Passenger,1,1,2,"1,325","1,327",0.15
February 28 2019,Garfield,WA,Truck,0,0,0,961,961,0.00
February 28 2019,Grant,WA,Truck,0,0,0,"26,319","26,319",0.00
February 28 2019,Grant,WA,Passenger,33,55,88,"64,295","64,383",0.14
February 28 2019,Grays Harbor,WA,Passenger,66,79,145,"47,464","47,609",0.30
February 28 2019,Grays Harbor,WA,Truck,0,0,0,"20,317","20,317",0.00
February 28 2019,Island,WA,Passenger,293,231,524,"63,212","63,736",0.82
February 28 2019,Island,WA,Truck,0,0,0,"21,174","21,174",0.00
February 28 2019,Jefferson,WA,Passenger,179,113,292,"24,877","25,169",1.16
February 28 2019,Jefferson,WA,Truck,0,0,0,"9,624","9,624",0.00
February 28 2019,King,WA,Passenger,"17,536","6,770","24,306","1,380,267","1,404,573",1.73
February 28 2019,King,WA,Truck,6,1,7,"182,084","182,091",0.00
February 28 2019,Kitsap,WA,Truck,1,0,1,"53,733","53,734",0.00
February 28 2019,Kitsap,WA,Passenger,988,574,"1,562","179,852","181,414",0.86
February 28 2019,Kittitas,WA,Passenger,73,37,110,"29,448","29,558",0.37
February 28 2019,Kittitas,WA,Truck,0,0,0,"14,259","14,259",0.00
February 28 2019,Klickitat,WA,Passenger,30,32,62,"15,452","15,514",0.40
February 28 2019,Klickitat,WA,Truck,0,0,0,"8,223","8,223",0.00
February 28 2019,Lewis,WA,Passenger,96,84,180,"58,314","58,494",0.31
February 28 2019,Lewis,WA,Truck,0,0,0,"25,707","25,707",0.00
February 28 2019,Lincoln,WA,Passenger,3,5,8,"7,741","7,749",0.10
February 28 2019,Lincoln,WA,Truck,0,0,0,"4,665","4,665",0.00
February 28 2019,Mason,WA,Truck,0,0,0,"20,227","20,227",0.00
February 28 2019,Mason,WA,Passenger,109,114,223,"46,691","46,914",0.48
February 28 2019,Okanogan,WA,Truck,0,0,0,"16,468","16,468",0.00
February 28 2019,Okanogan,WA,Passenger,19,21,40,"25,968","26,008",0.15
February 28 2019,Pacific,WA,Truck,0,0,0,"7,637","7,637",0.00
